,createdAt,Luftdruck,Temperatur,UV-Intensität,rel. Luftfeuchte
376,2024-05-22 22:30:33.202000+00:00,,,0.0,77.11
377,2024-05-22 22:31:33.322000+00:00,,15.43,0.0,77.31
378,2024-05-22 22:32:33.478000+00:00,,15.41,0.0,77.72
379,2024-05-22 22:33:33.495000+00:00,,15.32,0.0,78.06
380,2024-05-22 22:34:33.634000+00:00,,15.38,0.0,78.06
381,2024-05-22 22:35:33.761000+00:00,,15.29,0.0,78.16
382,2024-05-22 22:36:34.776000+00:00,1001.98,15.25,0.0,78.46
383,2024-05-22 22:37:34.104000+00:00,1001.99,15.2,0.0,78.56
384,2024-05-22 22:38:34.159000+00:00,1002.0,15.17,0.0,78.91
385,2024-05-22 22:39:34.240000+00:00,1002.0,15.17,0.0,79.0
386,2024-05-22 22:40:34.403000+00:00,1002.01,15.13,0.0,79.21
387,2024-05-22 22:41:34.446000+00:00,1002.02,15.16,0.0,79.21
388,2024-05-22 22:42:34.566000+00:00,1002.01,15.14,0.0,79.31
389,2024-05-22 22:43:34.717000+00:00,1002.05,15.21,0.0,
